App,ID,Author,Date,Rating,Helpful Count,Review,,
Skype,20, Mark Edwards ," September 22, 2020 ",5,13,"  Been using Skype for years. Use both the free call service I also keep a revolving balance on my account so I can access dial up numbers. Its cheaper than using a normal land line and also works wherever there is an Internet connection, so even if the person your callibg doesn't have Skype you can d...Full ReviewBeen using Skype for years. Use both the free call service I also keep a revolving balance on my account so I can access dial up numbers. Its cheaper than using a normal land line and also works wherever there is an Internet connection, so even if the person your callibg doesn't have Skype you can dial them in a conventional manner and make a call. Very useful when travelling, being able to keep in touch with everybody.",,
Skype,21, Kishan Meher ," September 16, 2020 ",5,72,"  Very cool app, it is very useful for students in the time of lock down it's facilities are great, not only host the participants are also allowed To do things like muting anyone it's share screen facility is amazing and is use full for families conference also",,
Skype,22, Errol Feldman ," September 23, 2020 ",3,104,  It constantly cuts out. Sound quality is sometimes like talking underwater. There is another much better now on the market I think that SKYPE is fooling around with the product too much.,,
Skype,23, The Frog ," September 16, 2020 ",1,15,"  No Matter how many times I Force Stop and change settings to stop it from running in the background, it comes back running when I turn my computer/Tablet/Chromebook back on after a day or so.",,
Skype,24, Vishal Sharma ," September 24, 2020 ",1,3,"  There is always the red exclamation mark for sent messages , please fix this issue , It can't even do the basic things like messaging",,
Skype,25, A Google user ," September 8, 2020 ",5,104,"  Skype has been my go to video conference platform for nearly a decade. Some of that time was kind of underwhelming as Microsoft was taking it through multiple botched iterations. I think it is better than ever, even with some limitations. I don't use the mobile version that often but on some calls l...Full ReviewSkype has been my go to video conference platform for nearly a decade. Some of that time was kind of underwhelming as Microsoft was taking it through multiple botched iterations. I think it is better than ever, even with some limitations. I don't use the mobile version that often but on some calls last week I was impressed with its responsiveness, intuitive controls and modern look. Microsoft needs to make it better: better integration with GroupMe, Onedrive integration etc.",,
Skype,26, Brigitte HF ," September 11, 2020 ",2,270,"  Skype used to be a good app. I used it for years and hardly had any problems. Lately it seems to be riddled with problems. Doesn't ring for incoming calls, and I have resorted to ask my contacts to send me a message which then prompts a notification. I can then call them back. The latest issue is in...Full ReviewSkype used to be a good app. I used it for years and hardly had any problems. Lately it seems to be riddled with problems. Doesn't ring for incoming calls, and I have resorted to ask my contacts to send me a message which then prompts a notification. I can then call them back. The latest issue is inability to delete/remove contents of chats. All these glitches are very frustrating. I used to think that this was one of the best app to keep in touch with family. Very disheartening.",,
Skype,27, Josh Singh ," September 14, 2020 ",5,88,"  Skype is really good. Both FaceTime and voice calls work amazingly on this app. I switched from Discord to this app and there is already positive differences. Like being able to send large files, clean voice calls and FaceTime calls. One thing I haven't been fond of is the entire instant messaging e...Full ReviewSkype is really good. Both FaceTime and voice calls work amazingly on this app. I switched from Discord to this app and there is already positive differences. Like being able to send large files, clean voice calls and FaceTime calls. One thing I haven't been fond of is the entire instant messaging everyone always talks about. When you have good Wi-Fi it works perfectly fine. But when I use LTE (we did a test) At 3 bars of LTE it takes 2 seconds to send the message. At 2 bars or 1,it doesn't send",,
Skype,28, Fanny Peters ," September 25, 2020 ",1,116,"  Love skype as being in another country of my family, the face video & chats help a lot! However, since 2 days ago, a group conversation I created doesn't seem to work...Can't open it more than 2 sec on my phone. All other chats or group work fine, except the one I created! Worked fine for a year & o...Full ReviewLove skype as being in another country of my family, the face video & chats help a lot! However, since 2 days ago, a group conversation I created doesn't seem to work...Can't open it more than 2 sec on my phone. All other chats or group work fine, except the one I created! Worked fine for a year & out of nowhere, bang! No updates wanted, storage is fine...Can you help me? Thank you! Update: back working after 2 weeks, worked for a month, & just now, can't open it again! & no contact from you...",,
Skype,29, A Google user ," September 3, 2020 ",1,36,"  F.ing horrible. Those idiotic animations, smileys (which noone uses) on the call window makes it impossible to hang up and every new update is like a game on what's gonna crash next. This time it logged me out and just shows me a blank grey screen when I try to log back in. Update: now there's also ...Full ReviewF.ing horrible. Those idiotic animations, smileys (which noone uses) on the call window makes it impossible to hang up and every new update is like a game on what's gonna crash next. This time it logged me out and just shows me a blank grey screen when I try to log back in. Update: now there's also no internet connection all the time.",,
Skype,30, Steven Mcneil ," September 23, 2020 ",1,4,  Only Microsoft makes apps unusable. First when adding a photo the app shutdown. Now with the latest update when adding a photo the app stops responding. Well done Microsoft.,,
Skype,31, os costanza ," September 26, 2020 ",3,0,"  Since the last update it does not show notifications when i receive calls or messages very frustrating this app was ok before your update , my issue is not resolved",,
Skype,32, Steven Bickle ," August 29, 2020 ",4,44,  Skype has quite a few really good features like screen sharing and can deal with video conferencing but one thing that is quite annoying is that I don't receive messages instantly and just later get notifications that I have missed a conversation. The quality of the Windows app has actually reduced ...Full ReviewSkype has quite a few really good features like screen sharing and can deal with video conferencing but one thing that is quite annoying is that I don't receive messages instantly and just later get notifications that I have missed a conversation. The quality of the Windows app has actually reduced which I believe has been intentionally done to push people to use Teams.,,
Skype,33, Kristen Patrick ," August 29, 2020 ",3,29,"  The connection and phone call quality is sometimes great, other times extremely poor and cuts in and out. Hard to have a good phonecall with every phonecall. Also doesn't always come through on my end, and will show as a missed call even though I'm pressing the answer button!! If notifications have ...Full ReviewThe connection and phone call quality is sometimes great, other times extremely poor and cuts in and out. Hard to have a good phonecall with every phonecall. Also doesn't always come through on my end, and will show as a missed call even though I'm pressing the answer button!! If notifications have more information it would help",,
Skype,34, James McGrandles ," September 2, 2020 ",3,73,"  App has some great information & features, but they show remove the Sleep Analysis piece of the app as this is not useful at all. It does not analyse anything & simply records the duration from hitting the start button to dismissing the alarm. It does not analyse the sleep cycle, quality of sleep or...Full ReviewApp has some great information & features, but they show remove the Sleep Analysis piece of the app as this is not useful at all. It does not analyse anything & simply records the duration from hitting the start button to dismissing the alarm. It does not analyse the sleep cycle, quality of sleep or even detection of the user being asleep or awake. It's just fluffy nonsense. I love the mattress, pillow and duvet that this company manufacture. They just need to stick with what they know.",,
Skype,35, Bernd Stehr ," September 22, 2020 ",1,1,  For skype on Android the quality goes more worse. Call disappear before starting. On windows same account is working well.,,
Skype,36, Arpan Choudhury ," September 22, 2020 ",2,2,  Eating too much battery. Please fix. Make the interface smooth. It's lagging. Need lightweight UI.,,
Skype,37, David C ," August 25, 2020 ",3,577,"  It's free, so can't really complain. When it works, it works well. It works well around two thirds of the time. For the other third, there are times when you can't hear properly, when the video is poor quality etc. The other problem which I haven't resolved is that Skype doesn't ring on my phone and...Full ReviewIt's free, so can't really complain. When it works, it works well. It works well around two thirds of the time. For the other third, there are times when you can't hear properly, when the video is poor quality etc. The other problem which I haven't resolved is that Skype doesn't ring on my phone and sometimes on the computer. I've jumped through every hoop, forum, searched and tried suggestions, looked at notifications etc etc etc. It seems that each time one of the regular updates happens, problems with ringing happens. Overall, I'm happy using it but I wish it were more reliable.",,
Skype,38, Atomic Viking ," August 19, 2020 ",5,1102,"  If anything, Skype suffers a bit from its past, less-than-stellar reputation. I used Skype before it was bought by Microsoft and it was quite special and ahead of its time. Then Microsoft bought it right around the Windows 8 era if that tells you anything. They really messed it up. It became unintui...Full ReviewIf anything, Skype suffers a bit from its past, less-than-stellar reputation. I used Skype before it was bought by Microsoft and it was quite special and ahead of its time. Then Microsoft bought it right around the Windows 8 era if that tells you anything. They really messed it up. It became unintuitive, unreliable, and just plain awful on both mobile and desktop. I'm glad to see Skype back in top form moving in a positive direction. It's not quite FaceTime, but it's close and has potential.",,
Skype,39, Anna Lina ," September 9, 2020 ",3,8,"  I use this app to make out of the country calls every night. Recently, the sound quality has dropped immensely. I always call the same person - the same phone. But for like the last month I have been hearing my voice with an echo and my friend gets my voice sounding much bassier.",,
Skype,40, Susan Benthall ," July 31, 2020 ",4,361,"  I have been using Skype for years, and the quality of my most recent call was better than in the past. So much better, in fact, that I'm going to try migrating some of my Zoom meetings back to Skype. There was no lag between video and voice, and the screen never froze. But Skype has no screen sharin...Full ReviewI have been using Skype for years, and the quality of my most recent call was better than in the past. So much better, in fact, that I'm going to try migrating some of my Zoom meetings back to Skype. There was no lag between video and voice, and the screen never froze. But Skype has no screen sharing, right? I need screen sharing for much of what I do remotely.",,
Skype,41, Rodolfo Ferreira ," September 13, 2020 ",1,52,"  Skype is the WORST communication app I've ever used. On Android, it simply won't receive an update to share the screen with other apps. On Linux, one can RECEIVE a message from their contacts, but the messages SENT by this person won't be read by anyone, and I've seen myself in this situation for mu...Full ReviewSkype is the WORST communication app I've ever used. On Android, it simply won't receive an update to share the screen with other apps. On Linux, one can RECEIVE a message from their contacts, but the messages SENT by this person won't be read by anyone, and I've seen myself in this situation for multiple times, no matter how may updates it gets on Linux. It's like they did that on purpose and each update had the goal to make Skype for Linux even worse. If that was the case, congrats Microsoft, Skype literally SUCKS on Android and Linux.",,
Skype,42, Chien-Yu Ho ," September 9, 2020 ",2,10,"  I use Skype to make international calls every day for my job. The quality in general is not so good. After the phone calls, Skype asks to rate the call and the problems. The problems are still the same and I don't see they improve anything. If there's any better choice to make international phone ca...Full ReviewI use Skype to make international calls every day for my job. The quality in general is not so good. After the phone calls, Skype asks to rate the call and the problems. The problems are still the same and I don't see they improve anything. If there's any better choice to make international phone calls, I will change.",,
Skype,43, C Hudson ," August 24, 2020 ",5,183,"  Call quality is good, depending on your connection of course. Very affordable home phone alternatives with a real phone number, call forwarding, and voicemail even. I wish I would have had this years ago before wasting so much on, for the most part unused, mobile phone service. I would equate this t...Full ReviewCall quality is good, depending on your connection of course. Very affordable home phone alternatives with a real phone number, call forwarding, and voicemail even. I wish I would have had this years ago before wasting so much on, for the most part unused, mobile phone service. I would equate this to something similar to an old fashioned home phone, except the telephone has been modernized, and comes in the form of any smartphone or computer I chose to use.",,
Skype,44, 4z4tj ," September 12, 2020 ",3,8,"  MS took a useful tool for business and degraded it to a toy for smartphone addicted teens. let's turn the clock back two years and start again. The app has severe issues connecting to cell customers in N.A. there are delays sometimes so severe that words get out of order and the connection is often ...Full ReviewMS took a useful tool for business and degraded it to a toy for smartphone addicted teens. let's turn the clock back two years and start again. The app has severe issues connecting to cell customers in N.A. there are delays sometimes so severe that words get out of order and the connection is often simplex only - it's like radio, either side talks then says "" over"". Calling a LL is usually issue free.",,
Skype,45, Jack Reich ," August 14, 2020 ",1,69,"  Call connection and clarity are fine. BUT the app is often counter-intuitive, difficult to accomplish the simplest things, such as editing a contact or deleting a call from the record. It does not appear to have been designed by someone who actually USES it. Unfortunately, if you use Skype, you're s...Full ReviewCall connection and clarity are fine. BUT the app is often counter-intuitive, difficult to accomplish the simplest things, such as editing a contact or deleting a call from the record. It does not appear to have been designed by someone who actually USES it. Unfortunately, if you use Skype, you're stuck with the app....",,
Skype,46, Dave Algudady ," September 20, 2020 ",5,4,  Easy to use. Good server to hold good connections. Friendly setup and control,,
Skype,47, Jim Avery ," September 23, 2020 ",1,2,"  Crashes on startup. Tried restarting my phone, tried reverting to using the default ""Quickstep"" launcher, still the same.",,
Skype,48, Ur Mom ," August 8, 2020 ",4,88,"  Skype is just generally the VC my friends and I use to play Minecraft together because it's a good baseline since some of us don't have discord, ts, etc. However it's a tad bit laggy and sometimes even when do not disturb is off I don't get notifs to my phone when someone messages me. This means I m...Full ReviewSkype is just generally the VC my friends and I use to play Minecraft together because it's a good baseline since some of us don't have discord, ts, etc. However it's a tad bit laggy and sometimes even when do not disturb is off I don't get notifs to my phone when someone messages me. This means I might not respond even if I'm online and sometimes it's important. Also, anyone can mute anyone/kick them from a call. I'm sure there's a way to stop this but I wish it was a tad bit more simple.",,
Skype,49, A Melek S ," September 22, 2020 ",5,1,  Sep 2020 review: It either fails to open or it will not display account details such as a complete billing/ payment history as it once would. I'm in agreement with others, MICROSOFT broke this app. Disappointed. 2019 review. Skype is a life saver and a great addition to my apps.,
Skype,50, ganesh dasturkar ," September 21, 2020 ",5,0,  Really nice app. Useful for audio/video and screen sharing call.,,
Skype,51, Baby Leah ," August 20, 2020 ",1,130,"  Always has connection issues even when my wifi is fine. Rarely get message notifications and the video quality is trash. Always cuts out, disconnects and or doesn't work in total. When I am able to call it disconnects before it can even ring a good 2 times and says ""Whoops, something went wrong"". Pl...Full ReviewAlways has connection issues even when my wifi is fine. Rarely get message notifications and the video quality is trash. Always cuts out, disconnects and or doesn't work in total. When I am able to call it disconnects before it can even ring a good 2 times and says ""Whoops, something went wrong"". Plus, it never sends the full message. It always cuts your messages in half. Like what in the hell is wrong with your app? Really thinking of going to a different app. Wouldn't recommend.",,
Skype,52, A Google user ," August 9, 2020 ",3,33,"  I'm reducing my rating from 5 to 3 stars because my default availability status keeps resetting, maybe when the app is updated. I shouldn't have to repeatedly get online and become visible to reset to invisible! Otherwise works very well for me, though I use it only to talk to others who have Skype....Full ReviewI'm reducing my rating from 5 to 3 stars because my default availability status keeps resetting, maybe when the app is updated. I shouldn't have to repeatedly get online and become visible to reset to invisible! Otherwise works very well for me, though I use it only to talk to others who have Skype. very good audio quality. fairly intuitive interface.",,
Skype,53, WaterMeetsLava ," August 2, 2020 ",5,238,"  Very good video quality and sound quality. I tested this out by muting the skype video call so we could only see each other, and talking on a PS4 party. The audio from the PS4 party synced perfectly with the Skype video. Great app. Highly recommend it. (Also, its incredibly simplistic design, allows...Full ReviewVery good video quality and sound quality. I tested this out by muting the skype video call so we could only see each other, and talking on a PS4 party. The audio from the PS4 party synced perfectly with the Skype video. Great app. Highly recommend it. (Also, its incredibly simplistic design, allows for people, who are not so technologically educated, to make their calls.)",,
Skype,54, Sans Stampy ," August 7, 2020 ",1,109,"  I really liked skype at first, been using it for 2 years. Recent updates have been very frustrating, like the black bars at the top and bottom which blocks the video and there is no option to hide the bars. It keeps getting worst after each update, yes the quality of the call is still amazing but th...Full ReviewI really liked skype at first, been using it for 2 years. Recent updates have been very frustrating, like the black bars at the top and bottom which blocks the video and there is no option to hide the bars. It keeps getting worst after each update, yes the quality of the call is still amazing but the experience have been negatively affected by it.",,
Skype,55, K L ," September 17, 2020 ",1,1,"  Very bad, it is no way to hear the calling, there had a long lagging to hear the caller's voice from my OnePlus 6t Android phone.",,
Skype,56, Emily ," September 27, 2020 ",1,0,  The app keeps stopping is there a problem with the app or something?i've tried reinstalling but it still dosen't work please fix it,,
Skype,57, Andy Mott ," September 24, 2020 ",1,0,  Please fix it it is acting up could nt talk on Skype because it decided to acted up today please fix it camera going in and out keep saying poor connection it also freezes,,
Skype,58, Jerry Suppan ," August 25, 2020 ",5,91,  It works quite well. I just made a call from Tokyo to Bratislava in Slovakia and the connection was really good. It really comes down to the quality of a connection rather than the service provider more often than not. There are so many service options right now for IM and VoIP. It's just that Skype...Full ReviewIt works quite well. I just made a call from Tokyo to Bratislava in Slovakia and the connection was really good. It really comes down to the quality of a connection rather than the service provider more often than not. There are so many service options right now for IM and VoIP. It's just that Skype is one of the older ones. Anyway no complaints. In general the service is working well.,,
Skype,59, Mary Barto ," August 13, 2020 ",4,331,  Can't get back to the home screen. No live customer support only a stupid chat that doesn't work because it only gives you options that don't have anything to do with what your problem is. Horrible! 4 months later I can say there is a great improvement. Getting around in Skype is much more intuitive...Full ReviewCan't get back to the home screen. No live customer support only a stupid chat that doesn't work because it only gives you options that don't have anything to do with what your problem is. Horrible! 4 months later I can say there is a great improvement. Getting around in Skype is much more intuitive and the sound quality is better. Still wish we could have synchronous sound so keep trying!,,
Skype,60, Peter Daulby ," September 4, 2020 ",5,9,  Great for calling from abroad to UK landlines with a small subscription. My Dad in the UK was blocking unknown numbers and I was able to set the caller ID as my UK Mobile number. Works brilliantly with good sound quality. My Dad is hard of hearing but the sound quality through to his home phone is n...Full ReviewGreat for calling from abroad to UK landlines with a small subscription. My Dad in the UK was blocking unknown numbers and I was able to set the caller ID as my UK Mobile number. Works brilliantly with good sound quality. My Dad is hard of hearing but the sound quality through to his home phone is no issue at all.,,
Skype,61, Munna Online ," September 27, 2020 ",5,0,"  Skype has secure call, text feature and that's why I love it so much.",,
Skype,62, Sanman Chougule ," July 21, 2020 ",4,261,"  It has got some problem with OnePlus 6 model, during calls other parties cannot hear you properly while using speaker mode. You have to use earphones/headphones/speakers. Also there is hassle while you connect wireless earphones. When you pick up call, even though wireless earphones are connected it...Full ReviewIt has got some problem with OnePlus 6 model, during calls other parties cannot hear you properly while using speaker mode. You have to use earphones/headphones/speakers. Also there is hassle while you connect wireless earphones. When you pick up call, even though wireless earphones are connected it will go to speaker and then switching to earphones fails. Sometimes, you have to drop call and then try to reconnect. No doubt about the A/V quality.",,
Skype,63, MauhnAllanMounzingala ," September 6, 2020 ",5,11,"  Skype has improved a lot in terms of sounds, setups and user friendliness. For instance the line breaks far less often now and you can hear the person on the other side properly. Well done to the team behind these improvements.",,
Skype,64, shumail zafar ," September 22, 2020 ",2,3,  It was cool back then! Ut now its getting worse day by day as i received voice note and keeps loading but mot played.,,
Skype,65, richard lonsdale ," September 21, 2020 ",1,31,"  Has become unusable in the last couple months. Doesn't matter how good your WiFi or data is the call quality is terrible, connections dropping and people can't hear me most the time. Other apps are fine, just Skype slowly destroying itself for no good reason.",,
Skype,66, Christopher Kleinschmidt ," August 13, 2020 ",4,10,  On my phone it does not show that someone has called or left a message so I sometimes don't return calls for hours. Messenger pops up an image of the caller under the same conditions. I love that you can edit/delete messages. I don't like that you can't select multiple photos to send at once.,,
Skype,67, bluelionman ," August 24, 2020 ",2,84,  Gone down hill of late my device is not pushing message notifications through anymore so I don't know I got messages waiting to be read. Always used to beep and leave the Skype logo in notifications bar at top if I had a new unread message but nothing of late. Only when you open app do you see some ...Full ReviewGone down hill of late my device is not pushing message notifications through anymore so I don't know I got messages waiting to be read. Always used to beep and leave the Skype logo in notifications bar at top if I had a new unread message but nothing of late. Only when you open app do you see some hit and you missed peeps messages and sometimes over hours. Update: It's now some 3 months later and this issue is still present. Just opened app and see someone messaged me several hours ago!,,
Skype,68, Ryan Beliveau ," July 27, 2020 ",1,139,"  Took me forever to figure out how to use this stupid app, and people I used it with seemed confused about how it works as well. I also just got an email weeks after canceling my free trial telling me that I need to cancel my subscription or I will be charged. Spent 15 minutes trying to figure out ho...Full ReviewTook me forever to figure out how to use this stupid app, and people I used it with seemed confused about how it works as well. I also just got an email weeks after canceling my free trial telling me that I need to cancel my subscription or I will be charged. Spent 15 minutes trying to figure out how to unsubscribe, but as far as I can tell, it's already cancelled. Frustrating. Uninstall.",,
Skype,69, Lakhi Kripalani ," August 29, 2020 ",5,6,  The best part is that it's free for any number of users and no limit on duration also... And the group is still there after the call unlike other apps... so ppl can go back and read messages and check other content later... and also ppl who have missed the call can check it too,,
Skype,70, Samuel Conrad ," July 22, 2020 ",5,493,"  Skype is a great service. It is miles ahead of Zoom both in reliability and ease of use (Zoom is a complete mess). There are things they could improve, like make the calls more stable and use less bandwidth, and allow group admins to delete other people's messages. Overall though I really like this ...Full ReviewSkype is a great service. It is miles ahead of Zoom both in reliability and ease of use (Zoom is a complete mess). There are things they could improve, like make the calls more stable and use less bandwidth, and allow group admins to delete other people's messages. Overall though I really like this program.",,
Skype,71, Ruby Moore ," August 14, 2020 ",3,59,"  I use this app to talk to my bf we have a long distance that's been going on for some time now and we switched over to skype a while back and now all of a sudden I'm having problems like sometimes when I go to send messages he wont receive them and it'll be hours or more before they send, my interne...Full ReviewI use this app to talk to my bf we have a long distance that's been going on for some time now and we switched over to skype a while back and now all of a sudden I'm having problems like sometimes when I go to send messages he wont receive them and it'll be hours or more before they send, my internet and data connections are fine during this so I know it's not internet issues and my storage isnt full so it cant be that, I would like to know if others are dealing with this too.",,
Skype,72, Martin ," July 26, 2020 ",2,398,"  I can't even remember when I started using Skype for video calls, it has however been quite decent, but I don't use it often. I pay for a personal subscription to Microsoft 365 which includes a 60min a month plan to only landline numbers in South Africa and have decided to use this app to make a cal...Full ReviewI can't even remember when I started using Skype for video calls, it has however been quite decent, but I don't use it often. I pay for a personal subscription to Microsoft 365 which includes a 60min a month plan to only landline numbers in South Africa and have decided to use this app to make a call to a South African number and the experience I have encountered is horrific considering this is a Microsoft service.",,
Skype,73, Kevin Corbett ," September 22, 2020 ",4,0,  Skype is generally reliable for messaging and video calls. Resolution is good and if the wifi on each end has available bandwith dropouts and freezes don't occur. Text message updating is the week point. If you are not actively using the app messages may not update timely.,,
Skype,74, Hervé Bouvattier," September 17, 2020 ",4,1,"  Useful, many good features but some things to improve. Especially on contacts management.",,
Skype,75, Susan Wilcox ," September 21, 2020 ",5,0,  Use Skype daily. It still has good picture and sound quality. Has not caused any problems. Though I use it to contact people outside the U.S. Have no idea how it works for domestic calls.,,
