App,ID,Author,Date,Rating,Helpful Count,Review,,,
Excel,11,Tina Núñ,23-Sep-20,1,79," Microsoft is so hell bent on being a monopoly that their software is barely functional. Download because I had to in order to edit a oneNote shared doc- and still can't type in a simple text box. Google docs was better for mobile editing, but they blocked it and didn't replace it with anything that ...Full ReviewMicrosoft is so hell bent on being a monopoly that their software is barely functional. Download because I had to in order to edit a oneNote shared doc- and still can't type in a simple text box. Google docs was better for mobile editing, but they blocked it and didn't replace it with anything that works.",,,
Excel,12,N A,23-Sep-20,5,50," The mobile app for Excel is just so versatile. I must have overlooked it on PC because of previous misconceptions of Stats & Data. Since I've been using ph based apps in recent times I find Excel for Android is very comprehensive & totally convenient. This probably speaks more of my own eTech journe...Full ReviewThe mobile app for Excel is just so versatile. I must have overlooked it on PC because of previous misconceptions of Stats & Data. Since I've been using ph based apps in recent times I find Excel for Android is very comprehensive & totally convenient. This probably speaks more of my own eTech journey than the app, lol.",,,
Excel,13,Prem Kumar,23-Sep-20,4,21," This is a very amazing app 👌 and I am really happy after using this app but there is a problem, when by mistake I open another file that I don't want to open. So, when I press on cancel, it opens that file only it doesn't cancel that file😞😞😞☹️☹️. So, I am giving it 4 stars only. Sorry for that, ...Full ReviewThis is a very amazing app 👌 and I am really happy after using this app but there is a problem, when by mistake I open another file that I don't want to open. So, when I press on cancel, it opens that file only it doesn't cancel that file😞😞😞☹️☹️. So, I am giving it 4 stars on",,,
Excel,14,cyoung2004,4-Oct-20,1,3, I purchased Microsoft Office before it became 365 and I have been using all the Microsoft apps for YEARS through Google play because my purchase afforded me that option. NOW Microsoft wants me to pay for a subscription to use something I already own. If I could give negative stars I would.,,,
Excel,15,An0n Mous3,1-Oct-20,5,3," Can't go wrong with excel. Easy to use and I barely use it but comes in handy for making lists. Could there be a function to add more security to get notified when a document is opened via mobile, and could xbox partner up with a 365 office bundle? Thanks!",,,
Excel,16,Dennis Cooke,29-Sep-20,5,8," Love using Excel, it's been my favourite way of keeping track of bills, planning holiday costs etc for years, thanks. However I am now having trouble opening spreadsheets, it tells me they might be corrupted. Any ideas",,,
Excel,17,K Wong,4-Oct-20,4,0," Fairly good functionality on a small mobile screen. Of course, the optimal use is, I find, for reference in a (relatively) large DB, not for adding to it not really modifying it.",,,
Excel,18,Austin Oleniczak,25-Sep-20,4,8," Thought this version looked complicated at first, but ended up being quite user friendly after a small learning curve. It feels like a bit more work to do things compared to the computer version, but editing my files on a more portable device is priceless. Literally!",,,
Excel,19,Dagmar Poepplau,28-Sep-20,5,4," I have always loved Excel. I am used to the desktop version so this takes a little getting used to, but with a bit of patience I manage to find what I want. It's easier when you already know formulas and also know what it is capable of.",,,
Excel,20,Laura Jean Carrano,2-Oct-20,5,1," Love the way it will auto save when you turn it on, not sure if its auto correct the spelling at least I have not een it as long as I can remember using Excel for years. I love using Excel!",,,
Excel,21,donna braucht,27-Sep-20,3,6," Used it on my phone this time to make a quick budget spreadsheet. It handled the basics I threw it's way. When I go to update the sheet, next time though, I will be sure to use a tablet, though.",,,
Excel,22,Adan Morones,27-Sep-20,4,8," Use it for budget tracking on android phones for a few years already. It allows me to build my tracker how I want. Looked for and used other budget apps, Excel works best for me!!",,,
Excel,23,Donmon Dis,22-Sep-20,5,13," Easy, accessible and does the job. Working in the Hospitality industry the ability to create a specific spreadsheets is big part of my day to day operation, planning, presenting and success, it's old school numbers on the wall baby!!",,,
Excel,24,Tricky A Boots,24-Sep-20,1,9," Don't waste your money on diet excel. I constantly have issues with this app. Half the buttons and features don't work. I have to use the search feature to even find some of the common formatting tools that should be displayed in the main toolbar. I have to save a version, close the document and reo...Full ReviewDon't waste your money on diet excel. I constantly have issues with this app. Half the buttons and features don't work. I have to use the search feature to even find some of the common formatting tools that should be displayed in the main toolbar. I have to save a version, close the document and reopen to get some of the buttons that are displayed to funtion correctly. If you are accustom to using the full version of Excel you will hate this App.",,,
Excel,25,Bonita Vincent,2-Oct-20,5,2, I have used the desktop Excel for years and have used many mobile speadsheet versions also. I found this to be the best and easiest to use. As a companion to my desktop I love how they sync without issue.,,,
Excel,26,Mohamad Fajar,3-Oct-20,5,1, Very usefull and easy use. I thought its will be better if the developer improve the both of panel scroll up to down & left to right . Totally im very satisfied with this. Thank you,,,
Excel,27,Gail Ostermeyer,28-Sep-20,5,3," I am not an expert, but it is pretty easy to navagate, create, fix mistakes. I love that I can access my forms from any platform and device.",,,
Excel,28,Troy McInnes,25-Sep-20,3,2," The only issue I have is, when I'm looking at a spreadsheet it keeps on wanting to go into edit mode. It's gets annoying especially if you just want to look at a log sheet through email. Good apart from that.",,,
Excel,29,Elena Ionescu,25-Sep-20,3,2," Needs some urgent tweaking! Won't let me introduce data (numbers or letters) in the selected cell. I have to close and reopen the file in order to be able to introduce data. Please fix it, guys! And it's not smartphone type related.",,,
Excel,30,Ritesh Lamba,21-Sep-20,3,10," There is no pivot table, conditional formatting many more things in Samsung Tab S7. Major difference. If we are using DEX mode which means like a desktop, it should feel like so, but it does not.",,,
Excel,31,Louka Panourgias,29-Sep-20,4,1," With programs as robust as excel on androids platform there will be always room for optimization and refinement. That aside, this is full blown excel and it's extremely useful if you live in excel like me.",,,
Excel,32,Eddie Galleto,2-Oct-20,5,2," Excel on mobile is very useful for me, although some functions would not be all available, it's understandable. Basic functions are easily available so that's a plus.",,,
Excel,33,modise masiu,22-Sep-20,5,10, 😁😁😁😁Very easy and quick to use I can save and edit that's very pleasing it give you that's thing of wanting to using it more by saying that I very pleased and looking forward to the best is excel I definitely going to recommend this app to My friend �,,,
Excel,34,Nidhi Vijaywargia,25-Sep-20,4,5, It is good app for maintaining my class attendance but one day when I logged in in excel it showed that they have blocked my account and asked me to reset the package but I couldn't yet I had to and start the whole process with another gmail id and that's why 1 star cut,,,
Excel,35,Kirsten Dickerson,24-Sep-20,5,10," Its easy to use, easily accessible and my favorite part is that I can update it on my phone and still see the updates when I access it on my computer. Very good. I have it saved on my phone for when I need it.",,,
Excel,36,Rick McNabb,23-Sep-20,3,4," Does not have all the funtionality of the actual Excel. Hoping one day it will have the ability to have the ""Just Mine"" option when sorting a shared document through teams/one drive.",,,
Excel,37,Lourdes - Lou Cases,27-Sep-20,5,3, I can quickly and easily create an Excel document. It also provides me easy immediate access to all my spreadsheets.,,,
Excel,38,Manish Uttreja,29-Sep-20,4,3, Very nice app to have excel on mobile. I would have given 5 stars if the pivot refresh functionality would have been there. This is a major improvement area for the app.,,,
Excel,39,Valerie Danao,29-Sep-20,5,1, Excel so much easier to use than previous versions! Thanks for making calculations simpler!!!,,,
Excel,40,Adolfo Mengual Gomez,2-Oct-20,5,0," Good enaough ! I really use spreadsheets with pivot tables and a lot data, in that order, sometimes mobile app is useful but limited.",,,
Excel,41,beverly Armstrong,25-Sep-20,5,1, Great app. No complaints does every thing you would expect from a quality app. Thanks.,,,
Excel,42,Anandi Bhatia,30-Sep-20,5,0, I can use it very nicely. Almost all the basic things required by me to keep the records are found.,,,
Excel,43,Robert G Alker,3-Oct-20,5,1, Used since excel 2! Never found anything better.. Microsofts jewel in the crown from using it just as a calculator to full blown finite capacity planning and finicial accounting,,,
Excel,44,A Google user,23-Sep-20,5,4," Works great. No cell formating. Just copy the *.xlsx to computer, format cells, then copy back to Cell-Ph. Example, cell format: "" $""0,0.00"" USD "" . Don-",,,
Excel,45,AJAY Y,4-Oct-20,5,1, Nice application for sheet editor . It's good working in mobile view . Need to add more information like desktop.,,,
Excel,46,hasan khan,27-Sep-20,4,1," Yeah, all we I can say is it's nice but there are some features which is not easy for beginner's.",,,
Excel,47,Lavkesh Salunke,2-Oct-20,5,0," Best app ever I have seen, Very easy to access Easy to learn edit and play Efficient for low end phones too No lag Or hang problems Using the app since 5 years Good.",,,
Excel,48,Paula Demiri,29-Sep-20,4,0," It's simple, once you work out the formulas, but great for account keeping, invoicing.",,,
Excel,49,James Webb,15-Sep-20,4,309," I use it every day with my A50 and my A6. If I save the files to my phone memory it will save correctly. But if I save to my SD card the file will be corrupted the next time I try to open it. I have to transfer it to my PC, let Excel repair it, then transfer it back to my phone. But, as I said, it's...Full ReviewI use it every day with my A50 and my A6. If I save the files to my phone memory it will save correctly. But if I save to my SD card the file will be corrupted the next time I try to open it. I have to transfer it to my PC, let Excel repair it, then transfer it back to my phone. But, as I said, it's great if saving the files to the phone.",,,
Excel,50,Oleg Feldgajer,25-Sep-20,3,4," The REFRESH of the data that works well in a desktop version is missing. Too bad, as I can't get realtime values...",,,
Excel,51,Ansley Coelho,8-Sep-20,3,164," Given I am paying for the full office 365 and I don't have access to the full office on the mobile version a rip off. I either think a price change should be made to the office for mobile users or added the full features. I use Samsung Dex for my daily work and it would be nice to have the full feat...Full ReviewGiven I am paying for the full office 365 and I don't have access to the full office on the mobile version a rip off. I either think a price change should be made to the office for mobile users or added the full features. I use Samsung Dex for my daily work and it would be nice to have the full features (including all other office apps) since phones are getting much more powerful these days. Aside from that, the app works fine.",,,
Excel,52,Holy Victory,12-Sep-20,3,107," It is good in some aspects, however there are many parts that do not work properly, or are way to unclear to use correctly. Some of the elements such as error bars for example do not work. I understand that chromebooks have reduced functionality, but for the price it would be nice for everything to ...Full ReviewIt is good in some aspects, however there are many parts that do not work properly, or are way to unclear to use correctly. Some of the elements such as error bars for example do not work. I understand that chromebooks have reduced functionality, but for the price it would be nice for everything to work properly.",,,
Excel,53,Nico Maralit,29-Sep-20,4,1," Great for productivity on the go with a tablet, but missing key features like inserting new rows or columns in spreadsheets.",,,
Excel,54,Jamie Lindley,9-Sep-20,1,22," Used to be good now issues with files. Open a file, change, save and all ok. Open same file again which has not been opened since and message saying currupted! Will use alternate as this is becoming a real pain. Update.. 9.9.20. Again stopped opening files saying wrong type or corrupt even though th...Full ReviewUsed to be good now issues with files. Open a file, change, save and all ok. Open same file again which has not been opened since and message saying currupted! Will use alternate as this is becoming a real pain. Update.. 9.9.20. Again stopped opening files saying wrong type or corrupt even though they were created and only ever used with this app. Downloaded Office Suite and no issues. Get this sorted.",,,
Excel,55,john crockford,28-Sep-20,5,0, Excel'lent' app. I used to use it at work until retirement and now use it regularly on my smartphone and tablet for my hobby.,,,
Excel,56,Anis Sabri Mangenda,21-Sep-20,5,26, Very easy to use. User friendly interface. One I can't find is how to drag a formula to other cells.,,,
Excel,57,Alexander Petrusa,7-Sep-20,4,69," I would give 5 stars, if it would be a little easier to add a formula. You type the =, then the cell you need, but when typing on the other cell (or an operation) it just deletes the entry. And if Microsoft will find a way to make macros work (the VBA ones), that would be the best app. EVER!",,,
Excel,58,Nate Bachtel,2-Oct-20,2,1," I frequently encounter the ""Fetching your files..."" message and it refuses to go away. I've repeatedly deleted all Excel data to no avail.",,,
Excel,59,VijayBhai Kandoliya,21-Sep-20,3,6, It's awesome. I work on it in my Mobile like laptop. One suggestion : I am Gujarati. So I want Gujarati fonts in this mobile app and it is not impossible for you as a developer. Please update the app. Thanks.,,,
Excel,60,Tom Harrington,15-Sep-20,1,137, Excel doesn't work properly on Android ....lots of issues with saving files to the SD card (changes them to read only) together with a really strange directory system makes Excel virtually unusable !!! Microsoft need to go back to having Excel working as it did on Win10 mobile. This version on Andro...Full ReviewExcel doesn't work properly on Android ....lots of issues with saving files to the SD card (changes them to read only) together with a really strange directory system makes Excel virtually unusable !!! Microsoft need to go back to having Excel working as it did on Win10 mobile. This version on Android mobile is rubbish !!!!,,,
Excel,61,Anagha R,7-Sep-20,2,14," The app was working fine until last week. I have been sharing a Spreadsheet with a coworker which was being edited by us both but now I can't see their changes and vice-versa. Please fix this. I have tried everything, even removing and adding them back. Thank you.",,,
Excel,62,Diana Dispo,2-Oct-20,5,0, Serves its purpose. I've been an excel lover ever since. Good enough to have the basic functions of excel so I can play my worksheet in my mobile.,,,
Excel,63,Susan L,26-Sep-20,3,0, Why do I need to register an account to continue editing on the app? Would have given 5 stars if no login is required.,,,
Excel,64,Zac Schroff,11-Sep-20,1,84," Works on local files for a while (on the order of days), then refuses to edit them anymore until I log in to Microsoft's cloud. I just want to have my data locally, not spread through the known universe. Seems others have a similar issue -- even those with full Office or Office 365 licenses.",,,
Excel,65,Richard Anderson,26-Sep-20,3,0, I deleted an old file but that's the one that opens every time I go to use the app. Then it sometimes is difficult to get to the one I want to use.,,,
Excel,66,Sony Tv,7-Aug-20,5,737," This app works perfectly. It never has done something wrong. And those who have rated 1 star, i think they are completely fool. They have done something wrong to this app so that's why it is not working. It is a very good app. It helps me a lot. It can keep tracks, we can make lists,etc.Everyone sho...Full ReviewThis app works perfectly. It never has done something wrong. And those who have rated 1 star, i think they are completely fool. They have done something wrong to this app so that's why it is not working. It is a very good app. It helps me a lot. It can keep tracks, we can make lists,etc.Everyone should download this app. It is very good.",,,
Excel,67,Kimberly Regal,22-Sep-20,5,8, Create spreadsheets to track everything from home and car maintenance/repairs and/or tune ups.... To the zillion username and passwords required to run a household. Very easy to use with lots of help tools and directions,,,
Excel,68,Calvin Kiemele,28-Sep-20,5,1," Great app, works just like the desktop version, very easy to use.",,,
Excel,69,LOUISE WHITE,6-Sep-20,1,60," I have used Free Excel spreadsheets for a lot of years for my home budgeting. This is the only Microsoft programme I use. Since having to pay out for a new Tablet, I am not willing to pay the subscription on top for that one programme, so will be looking for another app to work on. Shame. Thanks for...Full ReviewI have used Free Excel spreadsheets for a lot of years for my home budgeting. This is the only Microsoft programme I use. Since having to pay out for a new Tablet, I am not willing to pay the subscription on top for that one programme, so will be looking for another app to work on. Shame. Thanks for the Free Programme while it lasted.",,,
Excel,70,Edo Sitompul,22-Sep-20,1,5, Why no data validation on microsoft excel android (phone & tablet) version ?? it's so sad to know that data validation fuction not ready yet on android microsoft exel,,,
Excel,71,Paul Manley,13-Sep-20,2,157," Chromebook Review Constantly freezes or lags meaning I can mistakenly add wrong figures to wrong cell or remove something from another without realising it. Am uninstalling and going to use the online version instead in hope that that works more reliably otherwise will try googlesheets or heaven for...Full ReviewChromebook Review Constantly freezes or lags meaning I can mistakenly add wrong figures to wrong cell or remove something from another without realising it. Am uninstalling and going to use the online version instead in hope that that works more reliably otherwise will try googlesheets or heaven forbid my PC! When it works it's ok but selecting several cells is a bit weird as doesn't seem to like doing it in same way as one would on Windows. Again, to repeat, this review is based on using it on a Chromebook. Maybe on a phone or tablet it would be better so please take that into account when reading this.",,,
Excel,72,Andy Fairweather,23-Sep-20,5,3," Great to be able to use Excel on my android phone, especially in split screen mode.�",,,
Excel,73,Kumkum Chakraborty,4-Aug-20,1,741," Hated it. After renaming a file, you can never open it again. Some important features are also missing. And if you don't open a file for a month, it will automatically get deleted. It's a lot better on computer / laptop. The mobile version is not at all good. Don't download on Mobile otherwise some ...Full ReviewHated it. After renaming a file, you can never open it again. Some important features are also missing. And if you don't open a file for a month, it will automatically get deleted. It's a lot better on computer / laptop. The mobile version is not at all good. Don't download on Mobile otherwise some important work of yours, that you spent days on, might get deleted. Very disappointed with the app and Microsoft.",,,
Excel,74,Andrew Sherman,6-Aug-20,1,160," What's the point of paying for a Excel/Word subscription if you can't actually use any of the key features... Formatting is a challenge in Word, Excel you can't even use/edit macros, Data Analysis pack. You also can't save and edit locally which makes editing on the road a joke. **Updated to affirm ...Full ReviewWhat's the point of paying for a Excel/Word subscription if you can't actually use any of the key features... Formatting is a challenge in Word, Excel you can't even use/edit macros, Data Analysis pack. You also can't save and edit locally which makes editing on the road a joke. **Updated to affirm that this app is still a waste of time and money**",,,
Excel,75,Adam Buttery,19-Sep-20,3,52, (fairly) recent updates make it more usable on a phone but only being able to link to one OneDrive account is very limiting - could be so much better :-(,,,
Excel,76,Mary W,25-Sep-20,5,1, Works great. My spreadsheet changes made in the go save to One Drive. A seamless experience from Android to PC.,,,
Excel,77,Barbara Bruneau,1-Oct-20,5,0, This app will do almost everything that the desktop software will do. I'm very pleasantly surprised by its capabilities.,,,
Excel,78,gopikrishnan r,1-Aug-20,1,478," I have tried to open my regularly updating file, but now its showing ""Sorry something went wrong, Microsoft excel can't open the file"". What does it mean???? When I check many others facing the same issue. What kind of explanation you have about this???? I have hardworked for creating that file and ...Full ReviewI have tried to open my regularly updating file, but now its showing ""Sorry something went wrong, Microsoft excel can't open the file"". What does it mean???? When I check many others facing the same issue. What kind of explanation you have about this???? I have hardworked for creating that file and very important for me. Give a remedy to get back the file?????",,,
Excel,79,James Burke,12-Aug-20,2,184," Functional. I think that sums it up. It doesn't do anything particularly well or particularly badly. Interface is a bit clunky and navigation/selection can be a pain, plus some functionality is so difficult to use that you eventually just stop using it. Overhaul the UI - totally - into something mor...Full ReviewFunctional. I think that sums it up. It doesn't do anything particularly well or particularly badly. Interface is a bit clunky and navigation/selection can be a pain, plus some functionality is so difficult to use that you eventually just stop using it. Overhaul the UI - totally - into something more useful and that'll bump up the rating by 1 or 2 stars.",,,
Excel,80,Angus Walker,9-Aug-20,1,124," Difficult to navigate to known commands. Especially poor at formulas and copy/paste functions. Excel's crown jewel feature is ability to ancor or relative address cell references in formulas, and then replicate across multiple cells. In this app, it is so painful to use, you may as well assume you h...Full ReviewDifficult to navigate to known commands. Especially poor at formulas and copy/paste functions. Excel's crown jewel feature is ability to ancor or relative address cell references in formulas, and then replicate across multiple cells. In this app, it is so painful to use, you may as well assume you have a read only copy. They need to really re-think the user interface for commands and basic formula functions in light of a mobile user. At this point its almost unusable except read only.",,,
Excel,81,H G,11-Sep-20,3,36," Great app but new android versions are buggy, I have two phones with different android version one 7.1 and a 10 the first one works fine the second keeps giving error when I tried to open saved documents even if is just a second ago. I can't open the files not even if I uploaded them to the desktop ...Full ReviewGreat app but new android versions are buggy, I have two phones with different android version one 7.1 and a 10 the first one works fine the second keeps giving error when I tried to open saved documents even if is just a second ago. I can't open the files not even if I uploaded them to the desktop or sent to the other one so they are completely corrupted now",,,
Excel,82,Nawid Karim,29-Sep-20,5,0," Excellent mobile UI. Clean and simple, yet still highly functional in limited display areas.",,,
Excel,83,Andrew Gordon,30-Sep-20,5,1, I have depended on Excel for over 30 years and found it invaluable.,,,
Excel,84,Declan Lees-Smith,21-Aug-20,1,1116," So buggy!! It would be a great app but someone needs to sit down and iron out the bugs. For example if you click on a cell it would bring the keyboard up but not actually let you type so you have to tap on the bar at the top, then you can start typing and after a few characters it will decide it'd p...Full ReviewSo buggy!! It would be a great app but someone needs to sit down and iron out the bugs. For example if you click on a cell it would bring the keyboard up but not actually let you type so you have to tap on the bar at the top, then you can start typing and after a few characters it will decide it'd prefer to type somewhere else so you just end up with a complete mess.",,,
Excel,85,Sridevi Parthasarathy,3-Oct-20,5,0, Good application. Very easy and elegant to use in smart phone to save our data's,,,
Excel,86,bryan martinez,6-Sep-20,1,50," Im currently using MS Excel app on my android phone, after working with my 2 files with this app suddenly an error prompt saying my file was corrupted. I didnt open this file on any machine, device except with my android phone with newly installed  MS excel app. I try some online repair tool,but the...Full ReviewIm currently using MS Excel app on my android phone, after working with my 2 files with this app suddenly an error prompt saying my file was corrupted. I didnt open this file on any machine, device except with my android phone with newly installed  MS excel app. I try some online repair tool,but they cannot recover my file all this tool says the file has no content. What other solution can I perform to address this problem?",,,
Excel,87,Jon W,12-Sep-20,5,12," I've been really impressed by this app. It runs smoothly and incorporates most of the key functions of the full version in an impressively intuitive way. Generally a great tool for creating, using and editing spreadsheets on android.",,,
Excel,88,Peter Z. Bandi,27-Sep-20,5,0, Great App. Makes it pretty simple to generate and keep data!,,,
Excel,89,Shivraj Deshmukh,29-Sep-20,5,2," Thank you 🙏🙏 Microsoft. You allowed this application software on Android or else we all always have to open our own computer and send the files from Android ➡️ Windows and after editing or creating the document and again from Windows ➡️ Android. No complaints, no report, nothing you have got. Firs...Full ReviewThank you 🙏🙏 Microsoft. You allowed this application software on Android or else we all always have to open our own computer and send the files from Android ➡️ Windows and after editing or creating the document and again from Windows ➡️ Android. No complaints, no report, nothing you have got. First Class app. Keep ",,,
Excel,90,Peter Trocewicz,30-Aug-20,3,380," I had to remove Excel from my Android tablet. I used Excel for 2 spreadsheets that I created for record keeping on the go. Excel kept locking them up and being unable to open them, they were useless after that. I would have to recreate them from memory. It works perfectly on my Windows laptop though...Full ReviewI had to remove Excel from my Android tablet. I used Excel for 2 spreadsheets that I created for record keeping on the go. Excel kept locking them up and being unable to open them, they were useless after that. I would have to recreate them from memory. It works perfectly on my Windows laptop though. I'm going to try using Office, see if Excel works better in the suite.",,,
Excel,91,LaJeana Parker,21-Aug-20,2,466," The ribbons are either missing another or just damn difficult to navigate. I am a student getting my bachelor's in business administration and when doing my accounting class, I have received half credit for things I can not do in this app that can be easily accomplished on a desk top or lap top. For...Full ReviewThe ribbons are either missing another or just damn difficult to navigate. I am a student getting my bachelor's in business administration and when doing my accounting class, I have received half credit for things I can not do in this app that can be easily accomplished on a desk top or lap top. For example , on the lap top there is a section in the Home tab on the ribbon for styles. I have been searching for the better part of two days just to do a conditional formatting on my assignment.Help!",,,
Excel,92,Joys Singh,7-Aug-20,2,72," Been using Excel, Word since very long, however since last 10 months, Excel has become a big Pain-Point with Redmi Note 5 Pro. It takes (always) a little over 6 minutes to open any excel sheet on the phone. It keeps on loading and ""working on the file"" .. and no amount of troubleshooting helps to re...Full ReviewBeen using Excel, Word since very long, however since last 10 months, Excel has become a big Pain-Point with Redmi Note 5 Pro. It takes (always) a little over 6 minutes to open any excel sheet on the phone. It keeps on loading and ""working on the file"" .. and no amount of troubleshooting helps to rectify it. As a user, I am reaching a stage where I need to dump it and switch to alternatives.",,,
Excel,93,D Wong,25-Jul-20,1,337," The new ""updates"" won't properly copy and paste of parts of Excel spreadsheets into other MS apps, including Edge. Won't you guys thoroughly test your updates before you unleashed them upon your paying subscribers? I'd give zero stars if I could. I don't get any benefit from this update -- you won't...Full ReviewThe new ""updates"" won't properly copy and paste of parts of Excel spreadsheets into other MS apps, including Edge. Won't you guys thoroughly test your updates before you unleashed them upon your paying subscribers? I'd give zero stars if I could. I don't get any benefit from this update -- you won't even describe what it was updated. (But I can tell now!)",,,
Excel,94,AK Patil,9-Aug-20,5,48," Hyperlinking is supported! Thus, a lot of unnecessary steps or multi-windowing is skipped altogether. All font families are genuine and long Formulae are executed correctly. Using 'Keyboard for Excel' app by Microsoft is great for horizontal navigation across cells. Certain third-party keyboards hav...Full ReviewHyperlinking is supported! Thus, a lot of unnecessary steps or multi-windowing is skipped altogether. All font families are genuine and long Formulae are executed correctly. Using 'Keyboard for Excel' app by Microsoft is great for horizontal navigation across cells. Certain third-party keyboards have arrow keys but not yet tried. Keep the good work going, developers.",,,
